split,sample_id,subset,y,n_raters,support,top_votes,second_votes,top_margin,margin_rate,peak,entropy,Hnorm,unique_top,in_S_amb,in_S_easy
train,mnli::10004n,mnli,0,100,3,51,46,5,0.05,0.51,0.8058057022536582,0.7334759592308654,1,1,0
train,mnli::100136e,mnli,0,100,3,68,31,37,0.37,0.68,0.6713689130779434,0.6111063202213676,1,0,0
train,mnli::10015e,mnli,0,100,2,94,6,88,0.88,0.94,0.22696752250060448,0.20659474215035953,1,0,1
train,mnli::10015n,mnli,1,100,3,73,15,58,0.58,0.73,0.7687384658098743,0.6997359065970814,1,0,0
train,mnli::100231n,mnli,0,100,3,52,45,7,0.07,0.52,0.804566963269062,0.732348410415534,1,1,0
train,mnli::100248n,mnli,1,100,3,66,26,40,0.4,0.66,0.8265376330306784,0.7523469758678214,1,0,0
train,mnli::100332e,mnli,0,100,3,70,25,45,0.45,0.7,0.7460326647147848,0.6790681957683443,1,0,0
train,mnli::100349e,mnli,0,100,3,64,35,29,0.29,0.64,0.6991131911166066,0.6363602504066004,1,0,0
train,mnli::100373c,mnli,1,100,3,52,45,7,0.07,0.52,0.804566963269062,0.732348410415534,1,1,0
train,mnli::100613c,mnli,2,100,3,69,22,47,0.47,0.69,0.8058571461168933,0.7335227854531512,1,0,0
train,mnli::100613n,mnli,0,100,2,63,37,26,0.26,0.63,0.6589556806830628,0.5998073091663122,1,0,0
train,mnli::100623n,mnli,1,100,2,61,39,22,0.22,0.61,0.6687480868518094,0.6087207413841681,1,0,0
train,mnli::100637e,mnli,0,100,3,59,23,36,0.36,0.59,0.9579925079987028,0.8720023595950436,1,1,0
train,mnli::100768n,mnli,0,100,2,85,15,70,0.7,0.85,0.42270908780599087,0.384766393172661,1,0,1
train,mnli::100792c,mnli,1,100,3,59,38,21,0.21,0.59,0.784181984727647,0.7137932033131917,1,1,0
train,mnli::100792n,mnli,0,100,3,65,33,32,0.32,0.65,0.7241080216607898,0.6591115256308064,1,0,0
train,mnli::10080c,mnli,1,100,3,52,36,16,0.16,0.52,0.9622678365069894,0.875893931310002,1,1,0
train,mnli::101104n,mnli,0,100,3,79,19,60,0.6,0.79,0.5800000328863217,0.5279387813779857,1,0,0
train,mnli::101195n,mnli,2,100,3,48,45,3,0.03,0.48,0.8977818699217879,0.817196274957204,1,1,0
train,mnli::10119e,mnli,0,100,3,60,37,23,0.23,0.6,0.7795654523164246,0.7095910544215029,1,1,0
train,mnli::101245n,mnli,0,100,3,75,24,51,0.51,0.75,0.6043211815523516,0.5500768449304291,1,0,0
train,mnli::101253c,mnli,2,100,3,62,22,40,0.4,0.62,0.9227033319629401,0.8398807672919525,1,0,0
train,mnli::101253n,mnli,0,100,3,55,37,18,0.18,0.55,0.8987419830974825,0.8180702076317226,1,1,0
train,mnli::101467n,mnli,0,100,3,56,38,18,0.18,0.56,0.861184930326698,0.7838843049632603,1,1,0
train,mnli::101470e,mnli,0,100,3,68,27,41,0.41,0.68,0.7655570970254649,0.6968400999351458,1,0,0
train,mnli::101525c,mnli,1,100,2,72,28,44,0.44,0.72,0.5929533174474745,0.5397293690992068,1,0,0
train,mnli::101531c,mnli,2,100,3,95,4,91,0.91,0.95,0.22353536452278197,0.20347065732696523,1,0,1
train,mnli::101809n,mnli,1,100,3,36,35,1,0.01,0.36,1.0942157559265195,0.9959981034374553,1,1,0
train,mnli::102031e,mnli,0,100,3,83,9,74,0.74,0.83,0.5734269462222685,0.5219557000563467,1,0,0
train,mnli::102075c,mnli,2,100,2,70,30,40,0.4,0.7,0.6108643020548935,0.556032649876389,1,0,0
train,mnli::102563n,mnli,1,100,3,45,31,14,0.14,0.45,1.0649031129175452,0.969316585934578,1,1,0
train,mnli::102647c,mnli,2,100,3,66,17,49,0.49,0.66,0.876705519271537,0.7980117538412036,1,0,0
train,mnli::102708c,mnli,1,100,3,87,8,79,0.79,0.87,0.47300290380251164,0.43054579734944654,1,0,1
train,mnli::102708e,mnli,1,100,3,81,11,70,0.7,0.81,0.6155425673612083,0.5602909904707641,1,0,0
train,mnli::102817c,mnli,2,100,3,43,34,9,0.09,0.43,1.0677278882066603,0.9718878072091367,1,1,0
