split,sample_id,subset,y,votes_entailment,votes_neutral,votes_contradiction,n_raters,top_votes,second_votes,top_margin,majority_label_index
train,mnli::10004n,mnli,0,51,46,3,100,51,46,5,0
train,mnli::100136e,mnli,0,68,31,1,100,68,31,37,0
train,mnli::10015e,mnli,0,94,6,0,100,94,6,88,0
train,mnli::10015n,mnli,1,15,73,12,100,73,15,58,1
train,mnli::100231n,mnli,0,52,45,3,100,52,45,7,0
train,mnli::100248n,mnli,1,26,66,8,100,66,26,40,1
train,mnli::100332e,mnli,0,70,5,25,100,70,25,45,0
train,mnli::100349e,mnli,0,64,35,1,100,64,35,29,0
train,mnli::100373c,mnli,1,3,52,45,100,52,45,7,1
train,mnli::100613c,mnli,2,9,22,69,100,69,22,47,2
train,mnli::100613n,mnli,0,63,37,0,100,63,37,26,0
train,mnli::100623n,mnli,1,39,61,0,100,61,39,22,1
train,mnli::100637e,mnli,0,59,18,23,100,59,23,36,0
train,mnli::100768n,mnli,0,85,15,0,100,85,15,70,0
train,mnli::100792c,mnli,1,3,59,38,100,59,38,21,1
train,mnli::100792n,mnli,0,65,33,2,100,65,33,32,0
train,mnli::10080c,mnli,1,12,52,36,100,52,36,16,1
train,mnli::101104n,mnli,0,79,19,2,100,79,19,60,0
train,mnli::101195n,mnli,2,7,45,48,100,48,45,3,2
train,mnli::10119e,mnli,0,60,37,3,100,60,37,23,0
train,mnli::101245n,mnli,0,75,24,1,100,75,24,51,0
train,mnli::101253c,mnli,2,22,16,62,100,62,22,40,2
train,mnli::101253n,mnli,0,55,37,8,100,55,37,18,0
train,mnli::101467n,mnli,0,56,38,6,100,56,38,18,0
train,mnli::101470e,mnli,0,68,27,5,100,68,27,41,0
train,mnli::101525c,mnli,1,0,72,28,100,72,28,44,1
train,mnli::101531c,mnli,2,4,1,95,100,95,4,91,2
train,mnli::101809n,mnli,1,29,36,35,100,36,35,1,1
train,mnli::102031e,mnli,0,83,8,9,100,83,9,74,0
train,mnli::102075c,mnli,2,0,30,70,100,70,30,40,2
train,mnli::102563n,mnli,1,24,45,31,100,45,31,14,1
train,mnli::102647c,mnli,2,17,17,66,100,66,17,49,2
train,mnli::102708c,mnli,1,5,87,8,100,87,8,79,1
train,mnli::102708e,mnli,1,8,81,11,100,81,11,70,1
train,mnli::102817c,mnli,2,23,34,43,100,43,34,9,2
train,mnli::102817e,mnli,0,69,27,4,100,69,27,42,0
train,mnli::102817n,mnli,1,17,50,33,100,50,33,17,1
train,mnli::102857n,mnli,0,60,35,5,100,60,35,25,0
train,mnli::102923n,mnli,0,81,19,0,100,81,19,62,0
train,mnli::103155e,mnli,0,63,35,2,100,63,35,28,0
train,mnli::103168n,mnli,0,82,17,1,100,82,17,65,0
train,mnli::103169n,mnli,0,72,26,2,100,72,26,46,0
train,mnli::103364n,mnli,0,75,24,1,100,75,24,51,0
train,mnli::103400e,mnli,0,49,8,43,100,49,43,6,0
train,mnli::103431n,mnli,0,83,16,1,100,83,16,67,0
train,mnli::103455e,mnli,0,52,21,27,100,52,27,25,0
train,mnli::103482c,mnli,1,1,50,49,100,50,49,1,1
train,mnli::103559e,mnli,0,64,23,13,100,64,23,41,0
train,mnli::103863n,mnli,2,1,40,59,100,59,40,19,2
train,mnli::104395n,mnli,0,64,34,2,100,64,34,30,0
train,mnli::104399n,mnli,1,39,46,15,100,46,39,7,1
train,mnli::104412e,mnli,0,88,0,12,100,88,12,76,0
train,mnli::104755e,mnli,0,88,9,3,100,88,9,79,0
train,mnli::104805e,mnli,1,12,72,16,100,72,16,56,1
train,mnli::104837e,mnli,0,85,8,7,100,85,8,77,0
train,mnli::104935e,mnli,0,67,32,1,100,67,32,35,0
train,mnli::105051c,mnli,2,6,33,61,100,61,33,28,2
train,mnli::105176n,mnli,1,42,50,8,100,50,42,8,1
train,mnli::105179c,mnli,2,7,45,48,100,48,45,3,2
train,mnli::105191c,mnli,2,1,24,75,100,75,24,51,2
train,mnli::105196e,mnli,0,52,22,26,100,52,26,26,0
train,mnli::105196n,mnli,1,49,50,1,100,50,49,1,1
train,mnli::105385c,mnli,2,3,23,74,100,74,23,51,2
train,mnli::105453n,mnli,0,69,31,0,100,69,31,38,0
train,mnli::10547c,mnli,2,3,6,91,100,91,6,85,2
train,mnli::105561e,mnli,0,60,14,26,100,60,26,34,0
train,mnli::105561n,mnli,0,50,43,7,100,50,43,7,0
train,mnli::105566e,mnli,0,51,48,1,100,51,48,3,0
train,mnli::105587n,mnli,0,72,25,3,100,72,25,47,0
train,mnli::105769e,mnli,0,71,25,4,100,71,25,46,0
train,mnli::105790e,mnli,0,86,10,4,100,86,10,76,0
train,mnli::105790n,mnli,0,60,33,7,100,60,33,27,0
train,mnli::105904c,mnli,2,8,40,52,100,52,40,12,2
train,mnli::105911c,mnli,1,37,50,13,100,50,37,13,1
train,mnli::105911n,mnli,2,7,41,52,100,52,41,11,2
train,mnli::105962c,mnli,0,90,7,3,100,90,7,83,0
train,mnli::106013c,mnli,2,9,16,75,100,75,16,59,2
train,mnli::106091e,mnli,0,76,15,9,100,76,15,61,0
train,mnli::106390e,mnli,0,70,17,13,100,70,17,53,0
train,mnli::106390n,mnli,0,60,32,8,100,60,32,28,0
train,mnli::106411n,mnli,0,75,22,3,100,75,22,53,0
train,mnli::106431e,mnli,0,81,16,3,100,81,16,65,0
train,mnli::106548e,mnli,0,86,14,0,100,86,14,72,0
train,mnli::107020c,mnli,1,15,49,36,100,49,36,13,1
train,mnli::10724n,mnli,1,4,78,18,100,78,18,60,1
train,mnli::107302e,mnli,0,81,19,0,100,81,19,62,0
train,mnli::107399c,mnli,1,2,68,30,100,68,30,38,1
train,mnli::107430n,mnli,1,38,54,8,100,54,38,16,1
train,mnli::107468n,mnli,0,64,36,0,100,64,36,28,0
train,mnli::107608e,mnli,0,65,34,1,100,65,34,31,0
train,mnli::107693n,mnli,1,47,51,2,100,51,47,4,1
train,mnli::107817c,mnli,2,5,33,62,100,62,33,29,2
train,mnli::108062c,mnli,0,76,16,8,100,76,16,60,0
train,mnli::108243e,mnli,0,60,31,9,100,60,31,29,0
train,mnli::108562c,mnli,1,1,87,12,100,87,12,75,1
train,mnli::108588c,mnli,2,0,44,56,100,56,44,12,2
train,mnli::108624c,mnli,0,47,11,42,100,47,42,5,0
train,mnli::108813n,mnli,0,89,11,0,100,89,11,78,0
train,mnli::108846e,mnli,0,69,20,11,100,69,20,49,0
train,mnli::108847e,mnli,0,71,25,4,100,71,25,46,0
train,mnli::10916n,mnli,0,88,12,0,100,88,12,76,0
train,mnli::109254n,mnli,1,3,90,7,100,90,7,83,1
train,mnli::109278n,mnli,1,13,74,13,100,74,13,61,1
train,mnli::109443e,mnli,1,18,77,5,100,77,18,59,1
train,mnli::109443n,mnli,1,28,66,6,100,66,28,38,1
train,mnli::109510n,mnli,1,18,56,26,100,56,26,30,1
train,mnli::109679n,mnli,0,86,14,0,100,86,14,72,0
train,mnli::109876c,mnli,2,11,34,55,100,55,34,21,2
train,mnli::10994e,mnli,0,47,42,11,100,47,42,5,0
train,mnli::10994n,mnli,1,10,75,15,100,75,15,60,1
train,mnli::110061n,mnli,1,26,73,1,100,73,26,47,1
train,mnli::11020c,mnli,2,1,32,67,100,67,32,35,2
train,mnli::110364c,mnli,2,0,25,75,100,75,25,50,2
train,mnli::110388n,mnli,0,65,31,4,100,65,31,34,0
train,mnli::110528c,mnli,2,9,45,46,100,46,45,1,2
train,mnli::110671n,mnli,0,44,22,34,100,44,34,10,0
train,mnli::111005e,mnli,0,76,8,16,100,76,16,60,0
train,mnli::111011e,mnli,0,53,37,10,100,53,37,16,0
train,mnli::111084n,mnli,1,3,80,17,100,80,17,63,1
train,mnli::111167c,mnli,1,4,64,32,100,64,32,32,1
train,mnli::111167n,mnli,1,46,49,5,100,49,46,3,1
train,mnli::111243n,mnli,0,78,21,1,100,78,21,57,0
train,mnli::111338c,mnli,2,3,7,90,100,90,7,83,2
train,mnli::111338e,mnli,0,63,37,0,100,63,37,26,0
train,mnli::111577n,mnli,1,14,62,24,100,62,24,38,1
train,mnli::111662n,mnli,2,4,36,60,100,60,36,24,2
train,mnli::111680e,mnli,0,91,7,2,100,91,7,84,0
train,mnli::111693e,mnli,0,43,33,24,100,43,33,10,0
train,mnli::111805c,mnli,2,21,20,59,100,59,21,38,2
train,mnli::112293n,mnli,0,54,42,4,100,54,42,12,0
train,mnli::112402c,mnli,1,43,44,13,100,44,43,1,1
train,mnli::112467n,mnli,1,43,51,6,100,51,43,8,1
train,mnli::112547n,mnli,0,49,47,4,100,49,47,2,0
train,mnli::112592n,mnli,1,25,68,7,100,68,25,43,1
train,mnli::112688n,mnli,0,62,33,5,100,62,33,29,0
train,mnli::112800n,mnli,1,31,67,2,100,67,31,36,1
train,mnli::11297c,mnli,2,0,24,76,100,76,24,52,2
train,mnli::113030n,mnli,1,49,51,0,100,51,49,2,1
train,mnli::113039e,mnli,0,42,40,18,100,42,40,2,0
train,mnli::11303n,mnli,0,67,31,2,100,67,31,36,0
train,mnli::113193c,mnli,2,0,31,69,100,69,31,38,2
train,mnli::113193n,mnli,0,69,31,0,100,69,31,38,0
train,mnli::113280n,mnli,1,18,65,17,100,65,18,47,1
train,mnli::113570c,mnli,2,5,35,60,100,60,35,25,2
train,mnli::113628e,mnli,0,65,24,11,100,65,24,41,0
train,mnli::11362e,mnli,0,79,14,7,100,79,14,65,0
train,mnli::113668n,mnli,0,66,34,0,100,66,34,32,0
train,mnli::113908n,mnli,0,81,19,0,100,81,19,62,0
train,mnli::113926e,mnli,0,63,36,1,100,63,36,27,0
train,mnli::113967e,mnli,1,8,73,19,100,73,19,54,1
train,mnli::114074e,mnli,0,82,15,3,100,82,15,67,0
train,mnli::114458e,mnli,0,68,29,3,100,68,29,39,0
train,mnli::114458n,mnli,1,45,46,9,100,46,45,1,1
train,mnli::114492e,mnli,0,82,16,2,100,82,16,66,0
train,mnli::114492n,mnli,1,11,66,23,100,66,23,43,1
train,mnli::114916c,mnli,1,4,66,30,100,66,30,36,1
train,mnli::114916n,mnli,1,37,58,5,100,58,37,21,1
train,mnli::114971e,mnli,2,36,28,36,100,36,36,0,2
train,mnli::114971n,mnli,1,24,68,8,100,68,24,44,1
train,mnli::114988e,mnli,1,31,66,3,100,66,31,35,1
train,mnli::115173c,mnli,2,1,49,50,100,50,49,1,2
train,mnli::115173n,mnli,1,1,77,22,100,77,22,55,1
train,mnli::115224n,mnli,0,82,18,0,100,82,18,64,0
train,mnli::115247c,mnli,2,4,42,54,100,54,42,12,2
train,mnli::11534n,mnli,0,51,45,4,100,51,45,6,0
train,mnli::115391n,mnli,0,87,12,1,100,87,12,75,0
train,mnli::115593c,mnli,1,2,51,47,100,51,47,4,1
train,mnli::115821n,mnli,1,41,56,3,100,56,41,15,1
train,mnli::115830n,mnli,1,27,61,12,100,61,27,34,1
train,mnli::115954n,mnli,0,65,32,3,100,65,32,33,0
train,mnli::116059n,mnli,0,56,37,7,100,56,37,19,0
train,mnli::116111e,mnli,0,62,3,35,100,62,35,27,0
train,mnli::116176c,mnli,0,69,26,5,100,69,26,43,0
train,mnli::11618c,mnli,2,0,11,89,100,89,11,78,2
train,mnli::116293c,mnli,1,2,72,26,100,72,26,46,1
train,mnli::116665n,mnli,1,42,57,1,100,57,42,15,1
train,mnli::116713c,mnli,2,2,40,58,100,58,40,18,2
train,mnli::116713e,mnli,0,72,21,7,100,72,21,51,0
train,mnli::116809n,mnli,1,42,57,1,100,57,42,15,1
train,mnli::117089n,mnli,1,32,67,1,100,67,32,35,1
train,mnli::117093n,mnli,0,54,44,2,100,54,44,10,0
train,mnli::117102e,mnli,0,87,13,0,100,87,13,74,0
train,mnli::117177n,mnli,0,73,25,2,100,73,25,48,0
train,mnli::117329e,mnli,0,85,14,1,100,85,14,71,0
train,mnli::117420n,mnli,0,74,25,1,100,74,25,49,0
train,mnli::117487e,mnli,0,76,22,2,100,76,22,54,0
train,mnli::117576e,mnli,0,69,28,3,100,69,28,41,0
train,mnli::117680c,mnli,2,18,6,76,100,76,18,58,2
train,mnli::117713c,mnli,1,21,46,33,100,46,33,13,1
train,mnli::117713n,mnli,2,2,37,61,100,61,37,24,2
train,mnli::117809n,mnli,1,3,57,40,100,57,40,17,1
train,mnli::117892n,mnli,1,46,54,0,100,54,46,8,1
train,mnli::117900n,mnli,1,4,83,13,100,83,13,70,1
train,mnli::118141n,mnli,0,72,25,3,100,72,25,47,0
train,mnli::118393c,mnli,2,7,33,60,100,60,33,27,2
train,mnli::118403e,mnli,0,83,14,3,100,83,14,69,0
train,mnli::118403n,mnli,1,7,52,41,100,52,41,11,1
train,mnli::118415n,mnli,0,53,42,5,100,53,42,11,0
train,mnli::118652e,mnli,1,46,48,6,100,48,46,2,1
train,mnli::118999n,mnli,0,71,27,2,100,71,27,44,0
train,mnli::119065n,mnli,1,2,75,23,100,75,23,52,1
train,mnli::119421n,mnli,1,11,53,36,100,53,36,17,1
train,mnli::119637e,mnli,0,56,42,2,100,56,42,14,0
train,mnli::119758c,mnli,2,5,42,53,100,53,42,11,2
train,mnli::119758n,mnli,0,55,42,3,100,55,42,13,0
train,mnli::119768n,mnli,1,49,50,1,100,50,49,1,1
train,mnli::120144n,mnli,1,39,59,2,100,59,39,20,1
train,mnli::120149c,mnli,2,22,9,69,100,69,22,47,2
train,mnli::120166e,mnli,0,64,32,4,100,64,32,32,0
train,mnli::120176c,mnli,2,2,8,90,100,90,8,82,2
train,mnli::120226c,mnli,2,2,27,71,100,71,27,44,2
train,mnli::120226e,mnli,0,78,20,2,100,78,20,58,0
train,mnli::120323n,mnli,0,75,22,3,100,75,22,53,0
train,mnli::120496n,mnli,0,83,15,2,100,83,15,68,0
train,mnli::120759n,mnli,1,21,76,3,100,76,21,55,1
train,mnli::120855n,mnli,1,1,82,17,100,82,17,65,1
train,mnli::12092e,mnli,1,49,50,1,100,50,49,1,1
train,mnli::120955n,mnli,2,4,41,55,100,55,41,14,2
train,mnli::121360c,mnli,1,1,52,47,100,52,47,5,1
train,mnli::121360e,mnli,0,54,45,1,100,54,45,9,0
train,mnli::121422c,mnli,1,12,72,16,100,72,16,56,1
train,mnli::121910c,mnli,0,60,23,17,100,60,23,37,0
train,mnli::122020n,mnli,0,49,48,3,100,49,48,1,0
train,mnli::122062n,mnli,1,36,63,1,100,63,36,27,1
train,mnli::122197n,mnli,1,6,64,30,100,64,30,34,1
train,mnli::122393n,mnli,0,69,29,2,100,69,29,40,0
train,mnli::122397c,mnli,2,8,25,67,100,67,25,42,2
train,mnli::122928e,mnli,0,77,10,13,100,77,13,64,0
train,mnli::123027n,mnli,0,72,26,2,100,72,26,46,0
train,mnli::123038e,mnli,0,66,27,7,100,66,27,39,0
train,mnli::123229n,mnli,1,1,59,40,100,59,40,19,1
train,mnli::123267e,mnli,1,42,57,1,100,57,42,15,1
train,mnli::123373n,mnli,0,50,45,5,100,50,45,5,0
train,mnli::123675n,mnli,2,7,45,48,100,48,45,3,2
